100, -nan(ind)
200, -nan(ind)
300, -nan(ind)
400, -nan(ind)
500, -nan(ind)
600, -nan(ind)
700, -nan(ind)
800, -nan(ind)
900, -nan(ind)
1000, -nan(ind)
1100, -nan(ind)
1200, -nan(ind)
1300, -nan(ind)
1400, -nan(ind)
1500, -nan(ind)
1600, -nan(ind)
1700, -nan(ind)
1800, -nan(ind)
1900, -nan(ind)
2000, -nan(ind)
2100, -nan(ind)
2200, -nan(ind)
2300, -nan(ind)
2400, -nan(ind)
2500, -nan(ind)
2600, -nan(ind)
2700, -nan(ind)
2800, -nan(ind)
2900, -nan(ind)
3000, -nan(ind)
3100, -nan(ind)
3200, -nan(ind)
3300, -nan(ind)
3400, -nan(ind)
3500, -nan(ind)
3600, -nan(ind)
3700, -nan(ind)
3800, -nan(ind)
3900, -nan(ind)
4000, -nan(ind)
4100, -nan(ind)
4200, -nan(ind)
4300, -nan(ind)
4400, -nan(ind)
4500, -nan(ind)
4600, -nan(ind)
4700, -nan(ind)
4800, -nan(ind)
4900, -nan(ind)
5000, -nan(ind)
5100, -nan(ind)
5200, -nan(ind)
5300, -nan(ind)
5400, -nan(ind)
5500, -nan(ind)
5600, -nan(ind)
5700, -nan(ind)
5800, -nan(ind)
5900, -nan(ind)
6000, -nan(ind)
6100, -nan(ind)
6200, -nan(ind)
6300, -nan(ind)
6400, -nan(ind)
6500, -nan(ind)
6600, -nan(ind)
6700, -nan(ind)
6800, -nan(ind)
6900, -nan(ind)
7000, -nan(ind)
7100, -nan(ind)
7200, -nan(ind)
7300, -nan(ind)
7400, -nan(ind)
7500, -nan(ind)
7600, -nan(ind)
7700, -nan(ind)
7800, -nan(ind)
7900, -nan(ind)
8000, -nan(ind)
8100, -nan(ind)
8200, -nan(ind)
8300, -nan(ind)
8400, -nan(ind)
8500, -nan(ind)
8600, -nan(ind)
8700, -nan(ind)
8800, -nan(ind)
8900, -nan(ind)
9000, -nan(ind)
9100, -nan(ind)
9200, -nan(ind)
9300, -nan(ind)
9400, -nan(ind)
9500, -nan(ind)
9600, -nan(ind)
9700, -nan(ind)
9800, -nan(ind)
9900, -nan(ind)
10000, -nan(ind)
